EgoID,SurveyNr,Degree Centrality,Closeness Centrality,Betweenness Centrality,Eigenvector Centrality,Community
193705,3,0.0005770340450086555,0.06661055979904923,0.0,0.04451901536411281,0
196493,3,0.0005770340450086555,0.06661055979904923,0.0,0.04451901536411281,0
141585,3,0.0005770340450086555,0.06661055979904923,0.0,0.04451901536411281,0
198736,3,0.0005770340450086555,0.06661055979904923,0.0,0.04451901536411281,0
159219,3,0.0005770340450086555,0.06661055979904923,0.0,0.04451901536411281,0
191732,3,0.0005770340450086555,0.06661055979904923,0.0,0.04451901536411281,0
186518,3,0.0005770340450086555,0.06661055979904923,0.0,0.04451901536411281,0
190143,3,0.0005770340450086555,0.06661055979904923,0.0,0.04451901536411281,0
36143,3,0.0017311021350259665,0.0017311021350259665,1.998963204417975e-06,1.440035732455858e-43,74
171841,3,0.0005770340450086555,0.00103866128101558,0.0,8.314050177760697e-44,74
115395,3,0.0005770340450086555,0.00103866128101558,0.0,8.314050177760697e-44,74
179401,3,0.0005770340450086555,0.00103866128101558,0.0,8.314050177760697e-44,74
36951,3,0.011540680900173109,0.01154068090017311,0.00012660100294647176,2.1143846453236484e-13,27
177540,3,0.0005770340450086555,0.005918297897524671,0.0,4.7279077975254585e-14,27
151694,3,0.0005770340450086555,0.005918297897524671,0.0,4.7279077975254585e-14,27
128154,3,0.0005770340450086555,0.005918297897524671,0.0,4.7279077975254585e-14,27
122270,3,0.0005770340450086555,0.005918297897524671,0.0,4.7279077975254585e-14,27
158369,3,0.0005770340450086555,0.005918297897524671,0.0,4.7279077975254585e-14,27
166821,3,0.0005770340450086555,0.005918297897524671,0.0,4.7279077975254585e-14,27
144045,3,0.0005770340450086555,0.005918297897524671,0.0,4.7279077975254585e-14,27
127406,3,0.0005770340450086555,0.005918297897524671,0.0,4.7279077975254585e-14,27
116913,3,0.0005770340450086555,0.005918297897524671,0.0,4.7279077975254585e-14,27
129482,3,0.0005770340450086555,0.005918297897524671,0.0,4.7279077975254585e-14,27
143188,3,0.0005770340450086555,0.005918297897524671,0.0,4.7279077975254585e-14,27
129877,3,0.0005770340450086555,0.005918297897524671,0.0,4.7279077975254585e-14,27
171610,3,0.0005770340450086555,0.005918297897524671,0.0,4.7279077975254585e-14,27
168539,3,0.0005770340450086555,0.005918297897524671,0.0,4.7279077975254585e-14,27
125801,3,0.0005770340450086555,0.005918297897524671,0.0,4.7279077975254585e-14,27
120304,3,0.0005770340450086555,0.005918297897524671,0.0,4.7279077975254585e-14,27
141041,3,0.0005770340450086555,0.005918297897524671,0.0,4.7279077975254585e-14,27
100725,3,0.0005770340450086555,0.005918297897524671,0.0,4.7279077975254585e-14,27
159991,3,0.0005770340450086555,0.005918297897524671,0.0,4.7279077975254585e-14,27
130813,3,0.0005770340450086555,0.005918297897524671,0.0,4.7279077975254585e-14,27
38823,3,0.008078476630121177,0.008078476630121177,6.0635217200678577e-05,1.2662316009309308e-19,46
180544,3,0.0005770340450086555,0.004188839734136906,0.0,3.384146302135578e-20,46
189561,3,0.0005770340450086555,0.004188839734136906,0.0,3.384146302135578e-20,46
136771,3,0.0005770340450086555,0.004188839734136906,0.0,3.384146302135578e-20,46
167076,3,0.0005770340450086555,0.004188839734136906,0.0,3.384146302135578e-20,46
